Ingles,Español
American,Americano
American-Italian,Americano-Italiano
Argentine,Argentino
Argentine-Italian,Argentino-italiano
Australian,Australiano
Austrian,Austriaco
Belgian,Belga
Brazilian,Brasileño
British,Británico
Canadian,Canadiense
Chilean,Chileno
Chinese,Chino
Colombian,Colombiano
Czech,Checo
Danish,Danés
Dutch,Holandés
East German,Alemán oriental
Finnish,Finlandés
French,Francés
German,Alemán
Hungarian,Húngaro
Indian,Indio
Indonesian,Indonesio
Irish,Irlandés
Italian,Italiano
Japanese,Japonés
Liechtensteiner,Liechtensteiniano
Malaysian,Malasio
Mexican,Mexicano
Monegasque,Monegasco
New Zealander,Neozelandés
Polish,Polaco
Portuguese,Portugués
Rhodesian,Rodesiano
Russian,Ruso
South African,Sudafricano
Spanish,Español
Swedish,Sueco
Swiss,Suizo
Thai,Tailandés
Uruguayan,Uruguayo
Venezuelan,Venezolano
